Y,FONT68.TDF.ANS
Y,FONT69.TDF.ANS
Y,FONT6.TDF.ANS
Y,FONT70.TDF.ANS
Y,FONT71.TDF.ANS
Y,FONT72OX.TDF.ANS
Y,FONT72.TDF.ANS
Y,FONT73.TDF.ANS
Y,FONT74.TDF.ANS
Y,FONT76X.TDF.ANS
Y,FONT77.TDF.ANS
Y,FONT78X.TDF.ANS
Y,FONT79X.TDF.ANS
Y,FONT7.TDF.ANS
Y,FONT80.TDF.ANS
Y,FONT81X.TDF.ANS
Y,FONT82.TDF.ANS
Y,FONT83X.TDF.ANS
Y,FONT84X.TDF.ANS
Y,FONT85.TDF.ANS
Y,FONT8.TDF.ANS
Y,FONT9.TDF.ANS
Y,FORBIDDX.TDF.ANS
Y,FORGOTEX.TDF.ANS
Y,FOUNDATX.TDF.ANS
Y,FRAKTUR2.TDF.ANS
N,FREAK-10.TDF.ANS
Y,FREAK112.TDF.ANS
N,FREAK-11.TDF.ANS
N,FREAK-2.TDF.ANS
N,FREAK-4.TDF.ANS
Y,FREAK_52.TDF.ANS
N,FREAK-5.TDF.ANS
Y,FREESIDE.TDF.ANS
Y,FRESIDE2.TDF.ANS
Y,FRIENDSP.TDF.ANS
N,FRZMOON.TDF.ANS
Y,FTEGATEX.TDF.ANS
Y,FTH.TDF.ANS
Y,FUNDBIRD.TDF.ANS
Y,FUNGI.TDF.ANS
Y,FUTURE2X.TDF.ANS
Y,FUTURE.TDF.ANS
Y,GALAXYX.TDF.ANS
Y,GANGLANX.TDF.ANS
Y,GARDENX.TDF.ANS
Y,GENERATN.TDF.ANS
Y,GENOCIDE.TDF.ANS
Y,GEORGIA1.TDF.ANS
Y,GHOST.TDF.ANS
Y,GHOSTX.TDF.ANS
Y,GLAREX.TDF.ANS
Y,GLOOMX.TDF.ANS
Y,GLOREE.TDF.ANS
N,GLUENEW.TDF.ANS
Y,GNARLYX.TDF.ANS
Y,GOTHIC.TDF.ANS
N,GRAFFITI.TDF.ANS
Y,GRANDX.TDF.ANS
Y,GRAPHICX.TDF.ANS
Y,GRAVEX.TDF.ANS
Y,GREEDX.TDF.ANS
Y,GREEK2.TDF.ANS
Y,GREENIE.TDF.ANS
Y,GRNCHAOX.TDF.ANS
Y,GRNDZERO.TDF.ANS
Y,GRNDZERX.TDF.ANS
Y,GRNDZSML.TDF.ANS
Y,GRNDZSMX.TDF.ANS
N,GRNSHT.TDF.ANS
Y,GRNSHTX.TDF.ANS
Y,GRVEYARD.TDF.ANS
Y,GUILD2.TDF.ANS
Y,GUILD.TDF.ANS
Y,HACKER2.TDF.ANS
Y,HACKSHCK.TDF.ANS
N,HACK-TDF.TDF.ANS
Y,HARDTDFX.TDF.ANS
Y,HARDWRDX.TDF.ANS
Y,HARLOT.TDF.ANS
Y,HARLOTX.TDF.ANS
Y,HARVEST.TDF.ANS
Y,HARVESTX.TDF.ANS
Y,HAWKX.TDF.ANS
Y,HEAD.TDF.ANS
Y,HEADX.TDF.ANS
Y,HELITECH.TDF.ANS
Y,HELITECX.TDF.ANS
Y,HELIUM.TDF.ANS
Y,HELLHOLE.TDF.ANS
Y,HELLPAY.TDF.ANS
Y,HELTSKLX.TDF.ANS
Y,HEMISPHX.TDF.ANS
Y,HEMI.TDF.ANS
Y,HENRY3D.TDF.ANS
Y,HGSIERAX.TDF.ANS
Y,HIDDEN.TDF.ANS
Y,HIEROGLP.TDF.ANS
Y,HOARD.TDF.ANS
Y,HOBBES.TDF.ANS
Y,HOLYWOOD.TDF.ANS
N,HOPELESS.TDF.ANS
N,HORR-TDF.TDF.ANS
Y,HOSTESS.TDF.ANS
Y,HOTBOX.TDF.ANS
N,HOUN-TDF.TDF.ANS
Y,HOUSEX.TDF.ANS
Y,HOUSTEKX.TDF.ANS
Y,HRDWIREX.TDF.ANS
N,HS-EFFEK.TDF.ANS
Y,HUNTERX.TDF.ANS
Y,HWPLATED.TDF.ANS
Y,HW.TDF.ANS
Y,HWX.TDF.ANS
Y,HYDROGEN.TDF.ANS
Y,HYPERX.TDF.ANS
Y,HYPNOSIS.TDF.ANS
Y,HYSTERIA.TDF.ANS
N,ICEBLOCK.TDF.ANS
Y,ICECREAM.TDF.ANS
Y,ICEFIRE.TDF.ANS
Y,ICEX.TDF.ANS
Y,ICEZONEX.TDF.ANS
Y,IDESX.TDF.ANS
Y,ILCOMMX.TDF.ANS
Y,ILLCOMM.TDF.ANS
Y,ILLUCHRO.TDF.ANS
